id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
33,all paid,other,'>=1000',female div/dep/mar,'co applicant','no known property',bank,'for free','unskilled resident',none,no,4<x<21,276<x<4813,1<x<2,2<x<3,33<x<47,2<x<3,x<1,no checking,'<1',1
34,'critical/other existing credit',domestic appliance,'>=1000',male mar/wid,'co applicant',life insurance,none,own,'unskilled resident',yes,yes,4<x<21,4813<x<9350,x<1,1<x<2,33<x<47,x>3,x>1,'>=200','1<=X<4',1
35,'existing paid','new car','>=1000','male single','co applicant',car,bank,own,skilled,yes,yes,21<x<38,276<x<4813,x>3,2<x<3,19<x<33,x<1,x>1,'no checking',unemployed,0
36,'all paid','domestic appliance',>=1000,male mar/wid,co applicant,life insurance,stores,for free,'high qualif/self emp/mgmt',none,no,21<x<38,4813<x<9350,x>3,x<1,33<x<47,x>3,x<1,no checking,'>=7',1
37,'existing paid',used car,<100,'female div/dep/mar',guarantor,real estate,stores,rent,unemp/unskilled non res,none,yes,4<x<21,276<x<4813,x>3,x<1,47<x<61,1<x<2,x<1,'0<=X<200',unemployed,1
38,'no credits/all paid','new car','500<=X<1000','male div/sep',guarantor,real estate,bank,rent,'unemp/unskilled non res',none,no,21<x<38,9350<x<13887,1<x<2,x>3,33<x<47,1<x<2,x>1,'>=200',4<=X<7,0
39,'existing paid','used car','100<=X<500','male div/sep',guarantor,life insurance,none,for free,unemp/unskilled non res,none,yes,4<x<21,276<x<4813,x<1,x<1,x<19,x>3,x<1,<0,'1<=X<4',1
40,critical/other existing credit,furniture/equipment,'<100','male div/sep',guarantor,'life insurance',stores,rent,unskilled resident,yes,no,21<x<38,4813<x<9350,x>3,1<x<2,19<x<33,1<x<2,x>1,>=200,'>=7',0
41,delayed previously,'new car','>=1000','male div/sep',none,'real estate',bank,'for free',high qualif/self emp/mgmt,yes,no,21<x<38,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x<1,no checking,'>=7',1
42,'existing paid',business,no known savings,'male mar/wid',co applicant,'life insurance',stores,for free,unemp/unskilled non res,yes,yes,4<x<21,9350<x<13887,2<x<3,x>3,33<x<47,1<x<2,x>1,<0,1<=X<4,0
43,'delayed previously',domestic appliance,'>=1000',male mar/wid,co applicant,'real estate',none,'for free',unemp/unskilled non res,none,yes,38<x<55,276<x<4813,x<1,x<1,x>61,x<1,x<1,'0<=X<200','<1',1
44,no credits/all paid,other,'500<=X<1000',male div/sep,'co applicant','real estate',none,'for free',skilled,yes,yes,4<x<21,276<x<4813,x<1,2<x<3,33<x<47,x<1,x<1,'0<=X<200',unemployed,0
45,no credits/all paid,retraining,no known savings,'male div/sep',none,'real estate',none,own,'unemp/unskilled non res',yes,no,21<x<38,276<x<4813,x<1,x<1,47<x<61,x>3,x<1,0<=X<200,unemployed,1
46,'delayed previously',education,'100<=X<500',female div/dep/mar,guarantor,'no known property',stores,own,'unskilled resident',none,yes,x>55,276<x<4813,x<1,2<x<3,47<x<61,x<1,x<1,'<0',>=7,1
47,'delayed previously',repairs,100<=X<500,'female div/dep/mar','co applicant','no known property',none,rent,'unskilled resident',yes,no,38<x<55,276<x<4813,x<1,2<x<3,47<x<61,2<x<3,x<1,no checking,<1,1
48,no credits/all paid,new car,<100,'male mar/wid',guarantor,real estate,stores,'for free',unskilled resident,yes,no,x>55,276<x<4813,x>3,x<1,19<x<33,2<x<3,x<1,'no checking',<1,0
49,'no credits/all paid',business,>=1000,male mar/wid,'co applicant',no known property,bank,'for free',unskilled resident,none,yes,38<x<55,276<x<4813,x<1,x<1,33<x<47,x>3,x>1,'0<=X<200',>=7,1
50,existing paid,'domestic appliance',>=1000,'male mar/wid',guarantor,no known property,bank,for free,skilled,yes,yes,4<x<21,276<x<4813,x<1,2<x<3,19<x<33,2<x<3,x<1,<0,1<=X<4,0
51,delayed previously,furniture/equipment,>=1000,male mar/wid,guarantor,'no known property',stores,own,'unskilled resident',none,yes,21<x<38,276<x<4813,1<x<2,2<x<3,47<x<61,2<x<3,x<1,'no checking','<1',1
52,delayed previously,other,'<100','female div/dep/mar','co applicant',no known property,none,for free,unemp/unskilled non res,yes,no,4<x<21,276<x<4813,2<x<3,x<1,47<x<61,2<x<3,x<1,'0<=X<200',<1,0
53,'no credits/all paid',retraining,'500<=X<1000',male single,none,real estate,stores,'for free','unemp/unskilled non res',none,yes,4<x<21,276<x<4813,x<1,x>3,19<x<33,2<x<3,x>1,<0,<1,1
54,critical/other existing credit,retraining,'<100',male mar/wid,none,life insurance,bank,own,unskilled resident,none,no,4<x<21,276<x<4813,2<x<3,2<x<3,19<x<33,x<1,x>1,no checking,unemployed,1
55,delayed previously,business,500<=X<1000,male single,'co applicant','no known property',stores,own,'unemp/unskilled non res',yes,yes,4<x<21,276<x<4813,1<x<2,2<x<3,19<x<33,1<x<2,x>1,'0<=X<200',1<=X<4,0
56,'no credits/all paid',repairs,500<=X<1000,'female div/dep/mar','co applicant','no known property',none,own,high qualif/self emp/mgmt,none,no,4<x<21,9350<x<13887,x>3,1<x<2,x>61,x<1,x<1,no checking,'>=7',1
57,existing paid,'domestic appliance','>=1000',male single,guarantor,car,bank,rent,'unemp/unskilled non res',none,yes,38<x<55,4813<x<9350,x<1,1<x<2,19<x<33,x<1,x>1,'no checking',<1,0
58,existing paid,domestic appliance,<100,'male mar/wid',guarantor,no known property,stores,rent,'unemp/unskilled non res',none,yes,21<x<38,276<x<4813,1<x<2,x<1,x>61,1<x<2,x<1,'<0','1<=X<4',1
59,'all paid',education,>=1000,male single,guarantor,'life insurance',stores,'for free',skilled,yes,yes,21<x<38,276<x<4813,1<x<2,2<x<3,47<x<61,1<x<2,x<1,'<0','4<=X<7',1
60,'critical/other existing credit',education,'100<=X<500',male single,'co applicant',real estate,bank,'for free',skilled,none,no,38<x<55,9350<x<13887,2<x<3,1<x<2,19<x<33,x<1,x<1,no checking,unemployed,0
61,no credits/all paid,'new car','no known savings',male mar/wid,none,'life insurance',none,rent,'high qualif/self emp/mgmt',yes,no,38<x<55,276<x<4813,x<1,x<1,19<x<33,x<1,x>1,<0,'<1',0
62,'existing paid',furniture/equipment,'100<=X<500',male mar/wid,none,life insurance,none,own,'high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,x>3,2<x<3,33<x<47,x<1,x<1,>=200,1<=X<4,1
63,'no credits/all paid',repairs,'no known savings',male mar/wid,co applicant,'life insurance',stores,rent,'unemp/unskilled non res',none,no,4<x<21,276<x<4813,2<x<3,1<x<2,19<x<33,x>3,x>1,'no checking',4<=X<7,1
64,'critical/other existing credit',other,'500<=X<1000',female div/dep/mar,'co applicant','no known property',stores,own,'high qualif/self emp/mgmt',yes,no,4<x<21,276<x<4813,x<1,1<x<2,19<x<33,x>3,x>1,'no checking','<1',1
65,existing paid,repairs,100<=X<500,male div/sep,none,real estate,bank,'for free',unskilled resident,none,yes,21<x<38,276<x<4813,2<x<3,x>3,33<x<47,1<x<2,x>1,'no checking','>=7',1
66,'delayed previously',used car,>=1000,'male single','co applicant','life insurance',none,for free,skilled,none,no,4<x<21,4813<x<9350,x>3,x>3,33<x<47,x<1,x<1,'no checking',1<=X<4,1
67,no credits/all paid,other,no known savings,'male div/sep',none,'no known property',none,rent,unskilled resident,none,yes,4<x<21,276<x<4813,2<x<3,x>3,x>61,2<x<3,x<1,<0,'>=7',1
68,'delayed previously',domestic appliance,>=1000,male mar/wid,co applicant,'real estate',bank,for free,high qualif/self emp/mgmt,yes,yes,38<x<55,276<x<4813,x<1,x<1,33<x<47,1<x<2,x<1,<0,'<1',1
69,'no credits/all paid',radio/tv,<100,'male div/sep',none,life insurance,bank,'for free',high qualif/self emp/mgmt,none,no,x>55,276<x<4813,1<x<2,x<1,33<x<47,x>3,x>1,'>=200',1<=X<4,1
70,delayed previously,furniture/equipment,'<100',male mar/wid,none,'life insurance',none,rent,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,x>3,x<1,33<x<47,1<x<2,x>1,'no checking','1<=X<4',1
71,critical/other existing credit,'new car','500<=X<1000','male div/sep',guarantor,car,stores,'for free',skilled,yes,yes,x>55,276<x<4813,x>3,x>3,x>61,2<x<3,x>1,'<0',unemployed,0
72,'no credits/all paid',retraining,<100,female div/dep/mar,co applicant,real estate,none,'for free',unskilled resident,yes,yes,4<x<21,276<x<4813,x>3,1<x<2,19<x<33,x>3,x>1,'<0',1<=X<4,1
73,delayed previously,'new car','>=1000','male mar/wid',guarantor,life insurance,bank,'for free','high qualif/self emp/mgmt',none,no,4<x<21,4813<x<9350,x>3,2<x<3,x>61,x>3,x<1,'no checking',4<=X<7,0
74,'existing paid',domestic appliance,500<=X<1000,female div/dep/mar,guarantor,life insurance,bank,'for free',unskilled resident,yes,yes,21<x<38,276<x<4813,x<1,1<x<2,33<x<47,2<x<3,x<1,>=200,'>=7',1
75,'existing paid','domestic appliance','no known savings',male mar/wid,none,car,bank,'for free','unskilled resident',none,yes,4<x<21,276<x<4813,x<1,1<x<2,33<x<47,1<x<2,x>1,'<0',<1,1
76,'all paid',business,'>=1000',female div/dep/mar,'co applicant',car,bank,rent,'unemp/unskilled non res',yes,no,21<x<38,276<x<4813,2<x<3,1<x<2,47<x<61,x>3,x>1,'>=200','<1',1
77,critical/other existing credit,furniture/equipment,'100<=X<500',male div/sep,guarantor,car,none,for free,unemp/unskilled non res,none,yes,x>55,276<x<4813,x<1,x>3,x>61,x<1,x>1,'>=200','<1',0
78,delayed previously,education,'500<=X<1000','male mar/wid',co applicant,'real estate',bank,'for free',unemp/unskilled non res,none,yes,4<x<21,4813<x<9350,x<1,x<1,33<x<47,1<x<2,x<1,'>=200','>=7',0
79,delayed previously,'domestic appliance',>=1000,male div/sep,co applicant,'no known property',bank,'for free',skilled,yes,no,4<x<21,276<x<4813,2<x<3,1<x<2,33<x<47,x>3,x>1,0<=X<200,'<1',0
80,delayed previously,furniture/equipment,'100<=X<500','female div/dep/mar',co applicant,'real estate',stores,'for free',skilled,none,no,x>55,276<x<4813,2<x<3,x<1,x>61,x>3,x>1,0<=X<200,>=7,0
81,existing paid,business,no known savings,'male div/sep','co applicant','no known property',stores,rent,skilled,yes,yes,21<x<38,276<x<4813,1<x<2,2<x<3,47<x<61,x>3,x>1,<0,>=7,0
82,'no credits/all paid','domestic appliance',500<=X<1000,'male mar/wid','co applicant','real estate',bank,own,'unemp/unskilled non res',none,no,38<x<55,276<x<4813,1<x<2,1<x<2,47<x<61,x<1,x<1,<0,'4<=X<7',1
83,existing paid,'new car',500<=X<1000,male single,none,life insurance,none,for free,unskilled resident,yes,yes,4<x<21,276<x<4813,x>3,x>3,47<x<61,1<x<2,x>1,'0<=X<200',unemployed,0
84,'delayed previously',radio/tv,'500<=X<1000',male div/sep,none,no known property,bank,'for free',unemp/unskilled non res,none,no,4<x<21,276<x<4813,x>3,1<x<2,x>61,1<x<2,x<1,0<=X<200,'4<=X<7',1
85,critical/other existing credit,'used car',100<=X<500,male div/sep,co applicant,'no known property',bank,for free,unemp/unskilled non res,yes,no,38<x<55,276<x<4813,2<x<3,x<1,x>61,1<x<2,x>1,no checking,'>=7',1
86,'all paid',business,<100,'male div/sep',guarantor,'no known property',bank,'for free',unemp/unskilled non res,none,no,21<x<38,276<x<4813,1<x<2,2<x<3,47<x<61,x<1,x>1,'no checking','<1',1
87,delayed previously,education,500<=X<1000,female div/dep/mar,'co applicant',real estate,bank,rent,'unskilled resident',yes,no,21<x<38,276<x<4813,1<x<2,1<x<2,x>61,1<x<2,x<1,'0<=X<200',unemployed,1
88,no credits/all paid,business,'no known savings','male div/sep','co applicant',car,none,own,'high qualif/self emp/mgmt',yes,no,38<x<55,276<x<4813,x<1,x<1,47<x<61,x>3,x>1,no checking,'>=7',0
89,'no credits/all paid',business,'no known savings',male single,co applicant,'life insurance',bank,own,'high qualif/self emp/mgmt',none,no,x>55,4813<x<9350,x>3,x<1,47<x<61,2<x<3,x>1,'>=200',>=7,0
90,critical/other existing credit,'domestic appliance',<100,'male single',none,'real estate',bank,rent,skilled,none,yes,38<x<55,276<x<4813,x<1,1<x<2,47<x<61,x<1,x>1,'no checking',>=7,1
91,existing paid,retraining,100<=X<500,'female div/dep/mar','co applicant','no known property',none,for free,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,x>3,1<x<2,19<x<33,x>3,x<1,<0,4<=X<7,1
92,critical/other existing credit,other,'100<=X<500','male div/sep',guarantor,car,bank,own,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,1<x<2,2<x<3,33<x<47,2<x<3,x>1,>=200,'>=7',1
93,critical/other existing credit,new car,>=1000,male single,guarantor,car,bank,for free,unemp/unskilled non res,none,no,x>55,276<x<4813,1<x<2,x<1,x>61,1<x<2,x<1,no checking,'4<=X<7',1
94,existing paid,repairs,<100,male div/sep,'co applicant',life insurance,none,rent,unskilled resident,none,no,21<x<38,276<x<4813,x<1,2<x<3,47<x<61,2<x<3,x>1,'0<=X<200',unemployed,1
95,delayed previously,'domestic appliance',<100,'male div/sep',co applicant,no known property,none,rent,'unskilled resident',yes,no,4<x<21,276<x<4813,x>3,x>3,33<x<47,x>3,x>1,<0,'>=7',0
96,'existing paid',furniture/equipment,100<=X<500,'male div/sep','co applicant',car,stores,for free,skilled,none,yes,21<x<38,276<x<4813,x<1,2<x<3,33<x<47,2<x<3,x>1,0<=X<200,unemployed,0
97,'existing paid',other,no known savings,'male div/sep',guarantor,'life insurance',bank,'for free','unemp/unskilled non res',yes,yes,4<x<21,276<x<4813,2<x<3,x>3,33<x<47,x>3,x<1,'no checking','4<=X<7',1
98,all paid,retraining,'500<=X<1000','male single','co applicant',no known property,bank,for free,high qualif/self emp/mgmt,yes,no,4<x<21,4813<x<9350,x>3,x>3,19<x<33,1<x<2,x>1,'>=200',unemployed,0
99,delayed previously,domestic appliance,'500<=X<1000','male single',co applicant,real estate,none,for free,unemp/unskilled non res,none,yes,4<x<21,276<x<4813,x<1,1<x<2,47<x<61,1<x<2,x<1,no checking,'4<=X<7',1
100,'existing paid','domestic appliance','100<=X<500','male single',co applicant,'real estate',stores,rent,unskilled resident,none,no,4<x<21,276<x<4813,x>3,1<x<2,x>61,2<x<3,x<1,'<0',>=7,1
101,'all paid','used car',100<=X<500,male single,guarantor,'life insurance',stores,'for free','unskilled resident',yes,yes,21<x<38,4813<x<9350,x>3,x>3,33<x<47,x>3,x<1,0<=X<200,'<1',1
102,'critical/other existing credit','used car',500<=X<1000,male mar/wid,guarantor,no known property,none,for free,unskilled resident,none,yes,4<x<21,9350<x<13887,x<1,1<x<2,33<x<47,1<x<2,x>1,'0<=X<200','1<=X<4',1
103,all paid,business,no known savings,male single,guarantor,'real estate',bank,for free,'unskilled resident',none,yes,21<x<38,276<x<4813,1<x<2,x>3,47<x<61,x>3,x<1,>=200,unemployed,0
104,no credits/all paid,'new car',100<=X<500,'male mar/wid','co applicant',life insurance,stores,for free,'high qualif/self emp/mgmt',yes,no,4<x<21,276<x<4813,1<x<2,x<1,47<x<61,2<x<3,x>1,no checking,'<1',1
105,all paid,education,500<=X<1000,female div/dep/mar,none,real estate,none,rent,unemp/unskilled non res,yes,no,4<x<21,276<x<4813,2<x<3,2<x<3,47<x<61,x<1,x>1,'0<=X<200',4<=X<7,1
106,'no credits/all paid',other,'<100',male mar/wid,co applicant,car,none,own,unemp/unskilled non res,none,yes,4<x<21,276<x<4813,x>3,2<x<3,19<x<33,x<1,x>1,'no checking','>=7',1
107,all paid,'domestic appliance',<100,'female div/dep/mar',guarantor,'life insurance',none,for free,'high qualif/self emp/mgmt',yes,yes,21<x<38,4813<x<9350,x>3,2<x<3,47<x<61,x>3,x>1,'0<=X<200',4<=X<7,0
108,'no credits/all paid',new car,<100,female div/dep/mar,guarantor,real estate,stores,'for free',high qualif/self emp/mgmt,none,no,4<x<21,276<x<4813,2<x<3,x>3,x>61,2<x<3,x>1,'>=200',>=7,1
109,'delayed previously',other,'>=1000',male single,'co applicant',life insurance,bank,for free,unemp/unskilled non res,yes,yes,21<x<38,4813<x<9350,x>3,x>3,33<x<47,x>3,x>1,no checking,'<1',1
110,'critical/other existing credit','new car',>=1000,'male div/sep',guarantor,real estate,none,for free,unskilled resident,yes,no,21<x<38,276<x<4813,2<x<3,x>3,33<x<47,2<x<3,x<1,'>=200',unemployed,1
111,'no credits/all paid',domestic appliance,<100,'male div/sep',none,'real estate',bank,for free,unskilled resident,none,yes,38<x<55,276<x<4813,x>3,x>3,19<x<33,x<1,x<1,0<=X<200,unemployed,0
112,'delayed previously',new car,'<100',male single,none,'life insurance',none,rent,unskilled resident,none,no,4<x<21,276<x<4813,x>3,x<1,33<x<47,1<x<2,x<1,<0,'<1',1
113,all paid,furniture/equipment,<100,male single,'co applicant','no known property',bank,'for free',unemp/unskilled non res,yes,yes,4<x<21,276<x<4813,x<1,x>3,47<x<61,1<x<2,x>1,'no checking',<1,1
114,'all paid',furniture/equipment,>=1000,'male mar/wid',none,car,none,for free,'unemp/unskilled non res',none,no,x<4,276<x<4813,x<1,1<x<2,19<x<33,2<x<3,x>1,'>=200','1<=X<4',1
115,'no credits/all paid','domestic appliance',<100,female div/dep/mar,co applicant,real estate,bank,for free,high qualif/self emp/mgmt,none,no,4<x<21,276<x<4813,x<1,x>3,47<x<61,x<1,x>1,'0<=X<200',1<=X<4,1
116,'critical/other existing credit','used car','<100',male mar/wid,'co applicant',real estate,stores,rent,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,1<x<2,1<x<2,33<x<47,x>3,x<1,no checking,>=7,1
117,no credits/all paid,repairs,100<=X<500,female div/dep/mar,'co applicant','life insurance',none,'for free','high qualif/self emp/mgmt',yes,no,21<x<38,276<x<4813,x>3,x<1,19<x<33,x>3,x<1,>=200,'4<=X<7',0
118,'critical/other existing credit',education,>=1000,'female div/dep/mar',guarantor,'life insurance',bank,'for free',unskilled resident,none,no,38<x<55,276<x<4813,2<x<3,x>3,19<x<33,x>3,x<1,'<0',>=7,1
119,critical/other existing credit,radio/tv,'100<=X<500','female div/dep/mar',none,'real estate',none,own,'high qualif/self emp/mgmt',none,yes,21<x<38,4813<x<9350,1<x<2,1<x<2,x>61,1<x<2,x>1,no checking,4<=X<7,1
120,existing paid,business,'500<=X<1000',female div/dep/mar,co applicant,life insurance,bank,own,unemp/unskilled non res,none,yes,21<x<38,276<x<4813,x>3,2<x<3,19<x<33,x>3,x>1,<0,1<=X<4,0
121,delayed previously,new car,'500<=X<1000','male mar/wid','co applicant',no known property,bank,'for free',unemp/unskilled non res,none,no,38<x<55,276<x<4813,1<x<2,1<x<2,x>61,1<x<2,x<1,0<=X<200,'<1',0
122,existing paid,other,'500<=X<1000',female div/dep/mar,co applicant,life insurance,none,'for free',unskilled resident,none,yes,4<x<21,276<x<4813,x<1,1<x<2,47<x<61,x<1,x<1,no checking,'<1',1
123,'existing paid',domestic appliance,>=1000,'female div/dep/mar',none,car,bank,for free,'unemp/unskilled non res',none,yes,4<x<21,276<x<4813,x>3,x>3,x>61,x<1,x>1,'no checking',4<=X<7,1
124,no credits/all paid,'domestic appliance',>=1000,male single,'co applicant',car,bank,'for free','high qualif/self emp/mgmt',yes,yes,4<x<21,x>13887,x<1,x>3,19<x<33,x>3,x<1,<0,'>=7',0
125,critical/other existing credit,'new car',<100,'male single',none,life insurance,stores,rent,skilled,none,yes,21<x<38,276<x<4813,2<x<3,x>3,33<x<47,1<x<2,x>1,>=200,'4<=X<7',0
126,critical/other existing credit,retraining,'>=1000','male div/sep',none,real estate,none,for free,'high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,x>3,x<1,19<x<33,x>3,x<1,'no checking',unemployed,1
127,delayed previously,education,'100<=X<500','male single',co applicant,no known property,none,rent,unemp/unskilled non res,yes,yes,38<x<55,276<x<4813,x>3,x<1,x>61,x<1,x>1,'>=200',<1,0
128,'existing paid',new car,'no known savings',male mar/wid,none,no known property,bank,own,high qualif/self emp/mgmt,yes,yes,21<x<38,276<x<4813,x>3,2<x<3,47<x<61,1<x<2,x<1,<0,'4<=X<7',1
129,'no credits/all paid','used car',100<=X<500,female div/dep/mar,co applicant,'no known property',bank,for free,'high qualif/self emp/mgmt',none,no,4<x<21,276<x<4813,2<x<3,2<x<3,19<x<33,x<1,x>1,'<0',<1,0
130,'existing paid',repairs,>=1000,'female div/dep/mar',guarantor,'real estate',stores,for free,'high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,2<x<3,x<1,33<x<47,x<1,x<1,'<0',1<=X<4,1
